AÑO_TRIMESTRE;AÑO;TRIMESTRE;FECHA_INICIO;FECHA_FIN;TIPOLOGIA_PENAL_PROPER;NUEVA_TIPOLOGIA_PENAL_AGRUPADA;VALOR_ACUMULADO;VALOR_TRIMESTRE
2023-3;2021;3;01/01/2023;30/09/2023;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;98;37
2023-4;2023;4;01/01/2023;31/12/2023;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;133;35
2024-1;2021;1;01/01/2024;31/03/2024;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;33;33
2024-2;2021;2;01/01/2024;30/06/2024;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;68;35
2015-1;2015;1;01/01/2015;31/03/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;359;359
2015-2;2015;2;01/01/2015;30/06/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;721;362
2015-3;2015;3;01/01/2015;30/09/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;1027;306
2015-4;2015;4;01/01/2015;31/12/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;1348;321
2016-1;2016;1;01/01/2016;31/03/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;293;293
2016-2;2016;2;01/01/2016;30/06/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;601;308
2016-3;2016;3;01/01/2016;30/09/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;890;289
2016-4;2016;4;01/01/2016;31/12/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;1254;364
2015-1;2015;1;01/01/2015;31/03/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;94;94
2015-2;2015;2;01/01/2015;30/06/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;210;116
2015-3;2015;3;01/01/2015;30/09/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;368;158
2015-4;2015;4;01/01/2015;31/12/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;518;150
2016-1;2016;1;01/01/2016;31/03/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;134;134
2016-2;2016;2;01/01/2016;30/06/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;235;101
2016-3;2016;3;01/01/2016;30/09/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;350;115
2016-4;2016;4;01/01/2016;31/12/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;453;103
2016-1;2016;1;01/01/2016;31/03/2016;04. Secuestro;Delitos contra la libertad;0;0
2016-2;2016;2;01/01/2016;30/06/2016;04. Secuestro;Delitos contra la libertad;0;0
2016-3;2016;3;01/01/2016;30/09/2016;04. Secuestro;Delitos contra la libertad;0;0
2016-4;2016;4;01/01/2016;31/12/2016;04. Secuestro;Delitos contra la libertad;0;0
2017-1;2017;1;01/01/2017;31/03/2017;04. Secuestro;Delitos contra la libertad;0;0
2017-2;2017;2;01/01/2017;30/06/2017;04. Secuestro;Delitos contra la libertad;0;0
2017-3;2017;3;01/01/2017;30/09/2017;04. Secuestro;Delitos contra la libertad;0;0
2017-4;2017;4;01/01/2017;31/12/2017;04. Secuestro;Delitos contra la libertad;0;0
2018-1;2018;1;01/01/2018;31/03/2018;04. Secuestro;Delitos contra la libertad;0;0
2018-2;2018;2;01/01/2018;30/06/2018;04. Secuestro;Delitos contra la libertad;0;0
2018-3;2018;3;01/01/2018;30/09/2018;04. Secuestro;Delitos contra la libertad;0;0
2018-4;2018;4;01/01/2018;31/12/2018;04. Secuestro;Delitos contra la libertad;0;0
2019-1;2019;1;01/01/2019;31/03/2019;04. Secuestro;Delitos contra la libertad;0;0
