Index,TIPOLOGIA_PENAL,Periodos,Value,tipo
12,Hurtos,2023-2,1028,trimestre
13,Sustracciones de vehículos,2023-2,62,trimestre
14,Tráfico de drogas,2023-2,12,trimestre
15,Resto de criminalidad convencional,2023-2,1278,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2023-2,553,trimestre
17,Estafas informáticas,2023-2,543,trimestre
18,Otros ciberdelitos,2023-2,10,trimestre
19,TOTAL INFRACCIONES PENALES,2023-2,3472,trimestre
1,CRIMINALIDAD CONVENCIONAL,2023-3,3017,trimestre
2,Homicidios dolosos y asesinatos consumados,2023-3,0,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2023-3,2,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2023-3,37,trimestre
5,Secuestro,2023-3,0,trimestre
6,Delitos contra la libertad sexual,2023-3,35,trimestre
7,Agresión sexual con penetración,2023-3,14,trimestre
8,Resto de delitos contra la libertad sexual,2023-3,21,trimestre
9,Robos con violencia e intimidación,2023-3,317,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2023-3,121,trimestre
11,Robos con fuerza en domicilios,2023-3,88,trimestre
12,Hurtos,2023-3,1037,trimestre
13,Sustracciones de vehículos,2023-3,60,trimestre
14,Tráfico de drogas,2023-3,15,trimestre
15,Resto de criminalidad convencional,2023-3,1393,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2023-3,606,trimestre
17,Estafas informáticas,2023-3,588,trimestre
18,Otros ciberdelitos,2023-3,18,trimestre
19,TOTAL INFRACCIONES PENALES,2023-3,3623,trimestre
1,CRIMINALIDAD CONVENCIONAL,2023-4,3077,trimestre
2,Homicidios dolosos y asesinatos consumados,2023-4,1,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2023-4,2,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2023-4,35,trimestre
5,Secuestro,2023-4,1,trimestre
6,Delitos contra la libertad sexual,2023-4,19,trimestre
